"initial"	"last"	"count"	"total"	"flag"	"min"	"max"	"mean"	"percentile_5"	"percentile_95"	"lower"	"upper"	"left"	"right"	"potential"	"score"
19837822	19838699	219	255	0	0	1	0.835123952222102	0.5245	1	0.816085045854246	0.901562012969283	0	0	0	0
19837822	19851354	36	255	0	0	1	0.141438547777898	0	0.411538461538461	0.0984379870307171	0.183914954145754	0	0	0	0
19838986	19851347	0	0	NA	0	0.0731707317073171	0.000190548780487805	0	0	0	0	0	7	0	0
19838986	19851354	357	380	0	0	1	0.9835976284662	1	1	0.915497575311672	0.963449793109381	0	0	0	0
19838986	19851688	23	380	0	0	0.208333333333333	0.00273637888160572	0	0	0.0365502068906192	0.0845024246883281	0	0	0	0
19838986	19851693	0	0	NA	0	0.133333333333333	0.000454610538373425	0	0	0	0	0	-5	0	0
19841577	19851354	0	0	NA	0	1	0.0130208333333333	0	0	0	0	-2591	0	0	0
19844935	19851354	0	0	NA	0	1	0.0078125	0	0	0	0	-5949	0	0	0
19851449	19851688	384	396	0	0	1	0.984776653946057	1	1	0.952813195795677	0.986580743598263	0	0	0	0
19851449	19851693	12	396	0	0	0.125	0.00220251272060942	0	0	0.0134192564017375	0.0471868042043231	0	-5	0	0
19852191	19862398	340	369	0	0	1	0.945211406717313	0.722979797979798	1	0.893952094230861	0.948866333953421	0	0	0	0
19852191	19863449	29	369	0	0	0.521739130434783	0.0183302599493541	0	0.135058027079303	0.051133666046579	0.106047905769139	0	0	0	0
19862467	19862795	0	0	NA	0	1	0.00456950550573439	0	0	0	0	0	-397	0	0
19862467	19862823	0	0	NA	0	0.217391304347826	0.00106692447045708	0	0	0	0	0	-425	0	0
19862467	19862854	14	236	0	0	0.428571428571429	0.0134280460376143	0	0.127724358974359	0.0291830523951366	0.0894610154014735	0	-456	0	0
19862467	19863427	18	236	0	0	0	NA	NA	NA	0.0424060705421936	0.110136302339162	0	22	1	0.076271186440678
19862467	19863449	204	236	0	0	1	0.905414690652861	0	1	0.820727231241241	0.908086328080793	0	0	0	0
20143306	20160889	58	58	0	0	1	0.0078125	0	0	1	1	0	0	0	0
20189604	20189845	0	0	NA	0	0.0340136054421769	0.000126780031490999	0	0	0	0	0	-2374	0	0
20189604	20192782	17	17	0	0	1	0.239456553301842	0	1	1	1	0	0	0	0
20223496	20229579	0	0	NA	0	1	0.208333333333333	0	1	0	0	0	0	0	0
20229535	20229657	0	0	NA	0	1	0.00260416666666667	0	0	0	0	215	-78	0	0
20229684	20230697	0	0	NA	0	0.0225563909774436	9.00406816319645e-05	0	0	0	0	66	0	0	0
20229684	20231381	0	0	NA	0	0.0123609394313968	6.34900265641343e-05	0	0	0	0	66	0	0	0
20229684	20232193	0	0	NA	0	0.00618046971569839	1.60949732179646e-05	0	0	0	0	66	0	0	0
20229750	20230697	0	0	NA	0	1	0.151762479106353	0	0.812953995157385	0	0	0	0	0	0
20229750	20230741	0	0	NA	0	0.0168269230769231	0.000121685945266343	0	0	0	0	0	-44	0	0
20229750	20230865	0	0	NA	0	0.176470588235294	0.00378758563097798	0	0.0330640423031726	0	0	0	0	0	0
20229750	20231381	0	0	NA	0	0.56	0.0407738528301079	0	0.262814645308924	0	0	0	0	0	0
20229750	20232193	0	0	NA	0	0.35	0.0116964927975817	0	0.087719298245614	0	0	0	0	0	0
20229771	20230697	0	0	NA	0	0.00829875518672199	2.16113416320885e-05	0	0	0	0	-21	0	0	0
20230808	20230914	0	0	NA	0	0.173913043478261	0.00148893569043491	0	0	0	0	0	-49	0	0
20230808	20231381	0	0	NA	0	1	0.189170796290002	0	1	0	0	0	0	0	0
20230808	20232193	0	0	NA	0	0.072289156626506	0.000405558194747671	0	0	0	0	0	0	0	0
20230814	20231381	0	0	NA	0	0.333333333333333	0.014663876491482	0	0.131413087113609	0	0	-6	0	0	0
20231059	20231381	0	0	NA	0	0.454545454545455	0.00118371212121212	0	0	0	0	-80	0	0	0
20231062	20231381	0	0	NA	0	0.545454545454545	0.00142045454545455	0	0	0	0	-83	0	0	0
20231493	20232193	0	0	NA	0	0.0454545454545455	0.000184659090909091	0	0	0	0	13	0	0	0
20231506	20232193	0	0	NA	0	1	0.208148674242424	0	1	0	0	0	0	0	0
20404243	20404634	770	770	0	1	1	1	1	1	1	1	0	0	0	0
20404742	20405903	0	0	NA	0	0.0925925925925926	0.000280755166398282	0	0	0	0	0	-1269	0	0
20404742	20412133	0	0	NA	0	0.0632911392405063	0.000164820675105485	0	0	0	0	0	1148	0	0
20404742	20413281	852	852	0	0.907407407407407	1	0.999554424158496	1	1	1	1	0	0	0	0
20413388	20418397	0	0	NA	0	0.0359281437125748	9.3562874251497e-05	0	0	0	0	0	-5116	0	0
20413388	20432101	685	685	0	0.964071856287425	1	0.999906437125748	1	1	1	1	0	0	0	0
20432297	20439592	1115	1233	0	0.533333333333333	1	0.922094094263636	0.743145161290323	1	0.88787782607864	0.92071909200733	0	0	0	0
20432297	20489369	118	1233	0	0	0.466666666666667	0.077905905736364	0	0.256854838709677	0.0792809079926704	0.11212217392136	0	0	0	0
20439755	20440269	0	0	NA	0	0.0343347639484979	8.94134477825465e-05	0	0	0	0	0	-677	0	0
20439755	20472965	0	0	NA	0	0.0214592274678112	5.58834048640916e-05	0	0	0	0	0	16404	0	0
20439755	20489369	658	658	0	0	1	0.997250536480687	1	1	1	1	0	0	0	0
20459233	20489369	12	12	0	0	0	NA	NA	NA	1	1	-19478	0	1	1
20483436	20489369	0	0	NA	0	1	0.015625	0	0	0	0	6001	0	0	0
20489497	20512442	796	796	0	0	1	0.997395833333333	1	1	1	1	0	0	0	0
20512551	20525753	658	658	0	0	1	0.9609375	1	1	1	1	0	0	0	0
20729217	20731840	374	448	0	0	1	0.910627376734083	0.731498673740053	1	0.800434711818262	0.869208145324595	0	0	0	0
20729217	20757454	74	448	0	0	0.562962962962963	0.0841642899325835	0	0.26296992481203	0.130791854675405	0.199565288181738	0	0	0	0
20732122	20737722	445	530	0	0	1	0.780503669721778	0	1	0.808381151739465	0.870864131279403	0	0	0	0
20732122	20757454	85	530	0	0	1	0.183037996944889	0	0.443777777777778	0.129135868720597	0.191618848260535	0	0	0	0
20737806	20757454	416	416	0	0	1	0.940104166666667	0	1	1	1	0	0	0	0
20757618	20771865	0	0	NA	0	1	0.00260416666666667	0	0	0	0	0	1991	0	0
20757618	20773920	273	273	0	0	1	0.6953125	0	1	1	1	0	0	0	0
20783920	20786964	245	277	0	0	1	0.973190252155772	0.852941176470588	1	0.846832648333866	0.922120420258192	0	0	0	0
20783920	20790461	32	277	0	0	0.416666666666667	0.00858058117756079	0	0	0.0778795797418077	0.153167351666135	0	0	0	0
20787058	20787480	310	310	0	0	1	0.984256628787879	1	1	1	1	0	0	0	0
20787058	20790461	0	0	NA	0	0.0454545454545455	0.000118371212121212	0	0	0	0	0	0	0	0
20788617	20790461	357	357	0	0	1	0.919270833333333	0	1	1	1	0	0	0	0
20790581	20796075	353	353	0	0	1	0.986979166666667	1	1	1	1	0	0	0	0
20796257	20796763	300	300	0	0	1	0.971354166666667	1	1	1	1	0	0	0	0
20797058	20799164	446	446	0	0	1	0.984375	1	1	1	1	0	0	0	0
20799340	20800112	0	0	NA	0	0.108695652173913	0.000459018801410106	0	0	0	0	0	43	0	0
20799340	20800155	410	410	0	0	1	0.973499314531923	1	1	1	1	0	0	0	0
20800326	20800830	444	444	0	0	1	0.984375	1	1	1	1	0	0	0	0
20800991	20807456	230	247	0	0	1	0.869791666666667	0	1	0.899602312536983	0.962745865600669	0	0	0	0
20800991	20808435	17	247	0	0	0	NA	NA	NA	0.0372541343993309	0.100397687463017	0	0	1	0
20807635	20808435	294	294	0	0	1	0.885416666666667	0	1	1	1	0	0	0	0
20808582	20809082	361	361	0	0	1	0.864583333333333	0	1	1	1	0	0	0	0
20809226	20809790	286	286	0	0	1	0.90625	0	1	1	1	0	0	0	0
20809968	20821703	304	304	0	0	1	0.916666666666667	0	1	1	1	0	0	0	0
20821879	20822131	376	376	0	0	1	0.903645833333333	0	1	1	1	0	0	0	0
20822290	20827066	282	282	0	0	1	0.8515625	0	1	1	1	0	0	0	0
20827180	20842894	295	295	0	0	1	0.799479166666667	0	1	1	1	0	0	0	0
20843049	20843769	206	206	0	0	1	0.778645833333333	0	1	1	1	0	0	0	0
20843887	20855626	286	298	0	0	1	0.714482204243717	0	1	0.937410971884296	0.982052115364026	0	0	0	0
20843887	20862716	12	298	0	0	0.263157894736842	0.00166362908961593	0	0	0.017947884635974	0.0625890281157039	0	0	0	0
20855766	20855866	0	0	NA	0	0.238095238095238	0.00185290928386859	0	0	0	0	0	-233	0	0
20855766	20862716	294	294	0	0	1	0.776792924049465	0	1	1	1	0	0	0	0
20862859	20862968	51	268	0	0	1	0.0248163772869386	0	0.246590909090908	0.143301648232352	0.237295366693021	0	0	0	0
20862859	20868595	217	268	0	0	1	0.688725289379728	0	1	0.762704633306979	0.856698351767648	0	0	0	0
20863124	20868595	35	35	0	0	1	0.0364583333333333	0	0	1	1	0	0	0	0
20868702	20898895	21	241	0	0	0.25	0.000651041666666667	0	0	0.0515286085486964	0.122745250372465	0	3774	0	0
20868702	20902669	220	241	0	0	1	0.811848958333333	0	1	0.877254749627535	0.948471391451304	0	0	0	0
20898999	20902669	18	18	0	0	1	0.00260416666666667	0	0	1	1	3749	0	0	0
20975365	20979690	826	826	0	0	1	0.997395833333333	1	1	1	1	0	0	0	0
20979798	20981465	741	741	0	0	1	0.989583333333333	1	1	1	1	0	0	0	0
20981649	20983223	1096	1096	0	0	1	0.986979166666667	1	1	1	1	0	0	0	0
20983807	20987631	10	915	0	0	0.147058823529412	0.000889331427015251	0	0	0.00419223829222844	0.0176656852050393	0	249	0	0
20983807	20987635	0	0	NA	0	0.0943396226415094	0.000557011815588372	0	0	0	0	0	245	0	0
20983807	20987880	905	915	0	0	1	0.98813699009073	1	1	0.982334314794961	0.995807761707772	0	0	0	0
20989305	20991271	689	689	0	0	1	0.955729166666667	1	1	1	1	0	0	0	0
20991402	21045684	0	0	NA	0	0.125	0.000325520833333333	0	0	0	0	3	0	0	0
20991405	20994583	31	846	0	0	0.115942028985507	0.000301932367149758	0	0	0.023982254291387	0.0493037977180693	0	-3312	0	0
20991405	20995067	0	0	NA	0	0.0810810810810811	0.000293040682191626	0	0	0	0	0	-3796	0	0
20991405	21023062	18	846	0	0	0.117647058823529	0.00368453274142724	0	0	0.0115524390654485	0.0310007524239132	0	0	0	0
20991405	21025161	17	846	0	0	0	NA	NA	NA	0.0106386761025516	0.0295504491929567	0	-2099	1	0.0200945626477541
20991405	21045684	780	846	0	0	1	0.961540806709231	0.89321295143213	1	0.903913250581878	0.940058380623796	0	0	0	0
20994828	21045684	20	20	0	0	0	NA	NA	NA	1	1	-3423	0	1	1
20995201	21045684	0	0	NA	0	1	0.0390625	0	0	0	0	-3796	0	0	0
21023239	21025161	0	0	NA	0	1	0.00260416666666667	0	0	0	0	-109	-2099	0	0
21025216	21045684	21	21	0	0	0	NA	NA	NA	1	1	-2086	0	1	1
21046231	21046358	0	0	NA	0	0.37037037037037	0.00142953593474427	0	0	0	0	0	-674	0	0
21046231	21061345	371	371	0	0	1	0.678257964065256	0	1	1	1	0	0	0	0
21155151	21155692	425	456	0	0	1	0.518669695143787	0	1	0.908913706466245	0.955121381253053	0	0	0	0
21155151	21157921	31	456	0	0	0.134328358208955	0.00737197152287978	0	0.0709415584415583	0.0448786187469471	0.0910862935337547	0	0	0	0
21155812	21157921	401	427	0	0	1	0.41834604695456	0	1	0.916428499926549	0.961791640588673	0	0	0	0
21155812	21157951	0	0	NA	0	0.037593984962406	9.79010025062657e-05	0	0	0	0	0	-30	0	0
21155812	21159901	12	427	0	0	0	NA	NA	NA	0.0124272727835728	0.0437788162094015	0	0	1	0
21155812	21176374	14	427	0	0	0.130434782608696	0.000826885376267265	0	0	0.015895965343314	0.0496778051484892	0	0	0	0
21158126	21159901	339	339	0	0	1	0.395833333333333	0	1	1	1	0	0	0	0
21159988	21161789	390	390	0	0	1	0.390625	0	1	1	1	0	0	0	0
21161876	21167987	278	278	0	0	1	0.375	0	1	1	1	0	0	0	0
21168400	21172338	315	315	0	0	1	0.4140625	0	1	1	1	0	0	0	0
21172505	21172619	184	210	0	0	1	0.325558266153183	0	1	0.831643039967119	0.920737912413833	0	0	0	0
21172505	21176374	26	210	0	0	0.352941176470588	0.0077750671801505	0	0	0.0792620875861667	0.168356960032881	0	0	0	0
21172682	21176347	40	179	0	0	0.3125	0.00355360243055556	0	0	0.162437825422524	0.284489548879152	0	0	0	0
21172682	21176374	139	179	0	0	1	0.207383897569444	0	1	0.715510451120848	0.837562174577476	0	0	0	0
21374335	21375056	0	0	NA	0	1	0.00260416666666667	0	0	0	0	-64	50	0	0
21374874	21375008	27	1390	5	0	0	NA	NA	NA	0.0121690216682597	0.0266798991950496	-603	98	1	0.0194244604316547
21376656	21378660	148	1390	0	0	0.333333333333333	0.051531500979448	0	0.204475881261596	0.0902595000338116	0.122690140253958	0	0	0	0
21376656	21381433	1215	1390	0	0	1	0.930075785655013	0.783074534161491	1	0.856660938131054	0.891540500717867	0	0	0	0
21377209	21377248	0	0	NA	0	0.0289855072463768	7.54830917874396e-05	0	0	0	0	0	-272	0	0
21377224	21377263	0	0	NA	0	0.0338164251207729	8.80636070853462e-05	0	0	0	0	-15	-287	0	0
21377249	21377290	0	0	NA	0	0.333333333333333	0.00303819444444444	0	0	0	0	-40	-314	0	0
21377249	21377332	0	0	NA	0	0.333333333333333	0.00303819444444444	0	0	0	0	-40	334	0	0
21377249	21377374	0	0	NA	0	0.333333333333333	0.00303819444444444	0	0	0	0	-40	292	0	0
21377264	21377389	0	0	NA	0	0.25	0.00130208333333333	0	0	0	0	-55	277	0	0
21377306	21377389	0	0	NA	0	1	0.00520833333333333	0	0	0	0	-97	277	0	0
21377348	21377389	0	0	NA	0	1	0.00520833333333333	0	0	0	0	-139	277	0	0
21377432	21377515	0	0	NA	0	0.5	0.00130208333333333	0	0	0	0	-223	151	0	0
21377432	21377557	0	0	NA	0	0.272727272727273	0.000710227272727273	0	0	0	0	-223	109	0	0
21377459	21377500	0	0	NA	0	0.227272727272727	0.000591856060606061	0	0	0	0	-250	166	0	0
21377501	21377582	0	0	NA	0	1	0.00260416666666667	0	0	0	0	-292	84	0	0
21377516	21377557	0	0	NA	0	1	0.00260416666666667	0	0	0	0	-307	109	0	0
21377543	21377582	0	0	NA	0	1	0.00520833333333333	0	0	0	0	332	84	0	0
21377558	21377597	0	0	NA	0	1	0.00520833333333333	0	0	0	0	317	69	0	0
21378739	21381433	189	189	0	0	1	0.484375	0	1	1	1	0	0	0	0
21381547	21381900	35	1709	0	0	1	0.0202664458049279	0	0.160780984719864	0.0137646780930756	0.0271949474189197	0	0	0	0
21381547	21382919	363	1709	0	0	0.583333333333333	0.155543764225532	0	0.411363636363636	0.193013084060604	0.231796746249519	0	0	0	0
21381550	21381900	104	1709	0	0	1	0.174231822966215	0	0.47	0.0495199365122941	0.0721886650090634	0	0	0	0
21381550	21382919	1207	1709	0	0	1	0.592666300336659	0	1	0.684666206895319	0.727855735761205	0	0	0	0
21381946	21382919	121	121	0	0	1	0.765625	0	1	1	1	0	0	0	0
21383010	21387507	1616	1631	0	0	1	0.919270833333333	0	1	0.98617041078302	0.995435965673142	0	0	0	0
21383010	21391721	15	1631	0	0	0	NA	NA	NA	0.0045640343268584	0.0138295892169797	0	0	1	0
21387635	21390194	0	0	NA	0	0.0465116279069767	0.000121124031007752	0	0	0	0	0	0	0	0
21387635	21391721	1512	1522	0	0	1	0.960816375968992	1	1	0.98937078247004	0.997488613062154	0	0	0	0
21387635	21400372	10	1522	0	0	0	NA	NA	NA	0.00251138693784594	0.0106292175299596	0	0	1	0
21391855	21400372	926	926	0	0	1	0.739267676767677	0	1	1	1	0	0	0	0
21391855	21401652	0	0	NA	0	0.0606060606060606	0.000157828282828283	0	0	0	0	0	0	0	0
21391855	21413651	0	0	NA	0	0.0606060606060606	0.000157828282828283	0	0	0	0	0	0	0	0
21400494	21401652	1546	1556	0	0	1	0.00260416666666667	0	0	0.989602753565469	0.997543775997513	0	0	0	0
21400494	21402796	10	1556	0	0	0	NA	NA	NA	0.00245622400248724	0.0103972464345308	0	0	1	0
21401686	21402796	1555	1555	0	0	1	0.114583333333333	0	1	1	1	0	0	0	0
21402867	21413651	1497	1497	0	0	1	0.6875	0	1	1	1	0	0	0	0
21413773	21421060	1582	1629	0	0	1	0.615911458333333	0	1	0.963019140246501	0.979276746800767	0	0	0	0
21413773	21425651	17	1629	0	0	0	NA	NA	NA	0.00550091535643841	0.0153707850732731	0	0	1	0
21413773	21459053	30	1629	0	0	0.25	0.00127604166666667	0	0	0.0118870163016373	0.0249453962213829	0	0	0	0
21421165	21425651	1173	1188	0	0	1	0.821930803571429	0	1	0.981024434474577	0.993723040272897	0	0	0	0
21421165	21459053	15	1188	0	0	0.2	0.000985863095238095	0	0	0.00627695972710269	0.0189755655254226	0	0	0	0
21425679	21454527	30	1037	0	0	0	NA	NA	NA	0.0187281218818156	0.0391310873756579	0	4526	1	0.0289296046287367
21425679	21459053	1007	1037	0	0	1	0.432291666666667	0	1	0.960868912624342	0.981271878118185	0	0	0	0
21454571	21455399	0	0	NA	0	1	0.0078125	0	0	0	0	4678	3654	0	0
21454571	21459053	28	28	0	0	0	NA	NA	NA	1	1	4678	0	1	1
21455467	21459053	12	12	0	0	0	NA	NA	NA	1	1	3782	0	1	1
21493354	21495160	2126	2126	0	1	1	1	1	1	1	1	0	0	0	0
21495319	21495734	0	0	NA	0	0.0684931506849315	0.00101312786946121	0	0	0	0	0	317	0	0
21495319	21495782	0	0	NA	0	0.0958904109589041	0.000562355731404071	0	0	0	0	0	269	0	0
21495319	21496051	1724	1738	0	0.835616438356164	1	0.997819085312547	1	1	0.987742202749779	0.996147325443547	0	0	0	0
21495319	21502925	14	1738	0	0	0.103896103896104	0.000605431086587507	0	0	0.00385267455645284	0.0122577972502215	0	0	0	0
21495843	21496051	0	0	NA	0	1	0.104166666666667	0	1	0	0	318	0	0	0
21496161	21496759	0	0	NA	0	0.13953488372093	0.000526132509689922	0	0	0	0	0	-708	0	0
21496161	21502925	1733	1733	0	0.765957446808511	1	0.998864381674707	1	1	1	1	0	0	0	0
21496161	21510003	0	0	NA	0	0.234042553191489	0.000609485815602837	0	0	0	0	0	0	0	0
21503098	21510003	1169	1169	0	0.733333333333333	1	0.999305555555556	1	1	1	1	1	0	0	0
21503098	21521244	0	0	NA	0	0.266666666666667	0.000694444444444444	0	0	0	0	1	0	0	0
21510102	21514352	1779	1779	0	1	1	1	1	1	1	1	0	0	0	0
21514419	21521244	1906	1906	0	1	1	1	1	1	1	1	0	0	0	0
21521328	21522602	2001	2001	0	1	1	1	1	1	1	1	0	0	0	0
21522651	21539301	2281	2281	0	1	1	1	1	1	1	1	0	0	0	0
21539378	21539656	2244	2244	0	1	1	1	1	1	1	1	0	0	0	0
21539689	21547836	0	0	NA	0	0.0819672131147541	0.000213456284153005	0	0	0	0	0	3467	0	0
21539689	21566796	1938	1938	0	0.918032786885246	1	0.999786543715847	1	1	1	1	0	0	0	0
21547918	21566796	0	0	NA	0	1	0.00520833333333333	0	0	0	0	3493	0	0	0
21565061	21566796	0	0	NA	0	1	0.00260416666666667	0	0	0	0	1884	0	0	0
21566945	21603938	1462	1462	0	0	1	0.994791666666667	1	1	1	1	0	0	0	0
23329485	23341532	0	0	NA	0	1	0.029553952991453	0	0	0	0	0	-88	0	0
23329485	23341584	0	0	NA	0	0.333333333333333	0.00151909722222222	0	0	0	0	0	-140	0	0
23329953	23341584	13	13	0	0	1	0.0105936164529915	0	0	1	1	-468	-140	0	0
23341691	23353784	377	377	0	0	1	0.643229166666667	0	1	1	1	0	0	0	0
23353877	23354518	343	343	0	0	1	0.71875	0	1	1	1	0	0	0	0
23356008	23358334	468	479	0	0	1	0.700520833333333	0	1	0.96362106533748	0.990449915873376	0	0	0	0
23356008	23365165	11	479	0	0	0	NA	NA	NA	0.00955008412662398	0.0363789346625201	0	0	1	0
23358482	23365165	529	529	0	0	1	0.6640625	0	1	1	1	0	0	0	0
23365278	23368401	503	503	0	0	1	0.697916666666667	0	1	1	1	0	0	0	0
23368488	23371077	365	365	0	0	1	0.591145833333333	0	1	1	1	0	0	0	0
23371166	23375118	274	274	0	0	1	0.591145833333333	0	1	1	1	0	0	0	0
23375270	23375351	116	161	0	0	1	0.395182291666667	0	1	0.651177859314136	0.78981592950574	0	0	0	0
23375270	23411219	45	161	0	0	0.25	0.000651041666666667	0	0	0.210184070494261	0.348822140685864	0	0	0	0
23730446	23737124	0	0	NA	0	0.118279569892473	0.000683912872402525	0	0	0	0	0	-6936	0	0
23730446	23756544	226	226	0	0	1	0.991503587127597	1	1	1	1	0	0	0	0
23756619	23760087	0	0	NA	0	0.318181818181818	0.00276154366261084	0	0	0	0	0	8	0	0
23756619	23760095	239	239	0	0	1	0.992030123004056	1	1	1	1	0	0	0	0
23760218	23760442	0	0	NA	0	0.111111111111111	0.00112343572703086	0	0	0	0	0	90	0	0
23760218	23760532	0	0	NA	0	0.131578947368421	0.00133643340626048	0	0	0	0	0	0	0	0
23760218	23798723	0	0	NA	0	0.215686274509804	0.00908090915143497	0	0.101118255521386	0	0	0	7226	0	0
23760218	23805949	233	233	0	0	1	0.98012588838194	0.869774590163934	1	1	1	0	0	0	0
23760218	23836239	0	0	NA	0	0.2	0.000520833333333333	0	0	0	0	0	0	0	0
23760734	23805949	0	0	NA	0	1	0.0234375	0	0	0	0	-160	0	0	0
23798856	23805949	14	14	0	0	1	0.0911458333333333	0	1	1	1	7214	0	0	0
23806070	23809849	468	468	0	0	1	0.9765625	1	1	1	1	0	0	0	0
23809925	23822840	0	0	NA	0	0.0561797752808989	0.000146301498127341	0	0	0	0	0	-12991	0	0
23809925	23834055	0	0	NA	0	0.25531914893617	0.0103769500981707	0	0.106860902255639	0	0	0	2184	0	0
23809925	23836239	514	514	0	0	1	0.979060081737035	0.885085638998683	1	1	1	0	0	0	0
23836350	23837551	506	506	0	0	1	0.986979166666667	1	1	1	1	0	0	0	0
23837757	23839648	334	334	0	0	1	0.994791666666667	1	1	1	1	0	0	0	0
23839727	23841334	405	405	0	0	1	0.997395833333333	1	1	1	1	0	0	0	0
23841489	23858859	391	391	0	0	1	0.995681613278748	1	1	1	1	0	0	0	0
23841489	23862301	0	0	NA	0	0.230769230769231	0.00171422005458565	0	0	0	0	0	0	0	0
23858913	23862301	459	459	0	0	1	0.997395833333333	1	1	1	1	0	0	0	0
23862363	23862970	0	0	NA	0	0.107692307692308	0.000365958668197474	0	0	0	0	0	-669	0	0
23862363	23864140	413	413	0	0	1	0.970988207998469	1	1	1	1	0	0	0	0
23864190	23869291	399	399	0	0	1	0.9921875	1	1	1	1	0	0	0	0
23869388	23870012	0	0	NA	0	0.104477611940299	0.000272077114427861	0	0	0	0	61	0	0	0
23869449	23870012	367	367	0	0	1	0.994519589552239	1	1	1	1	0	0	0	0
23870196	23874845	461	461	0	0	1	0.708333333333333	0	1	1	1	0	0	0	0
23874910	23879267	449	449	0	0	1	0.966145833333333	1	1	1	1	0	0	0	0
23879355	23881698	408	408	0	0	1	0.989583333333333	1	1	1	1	0	0	0	0
23881788	23886332	271	281	0	0	1	0.98550445864899	1	1	0.942751674996776	0.986073947779025	0	0	0	0
23885908	23886332	10	281	0	0	1	0.00407887468434343	0	0	0.0139260522209748	0.0572483250032245	599	0	0	0
23886507	23888496	0	0	NA	0	0.172661870503597	0.000449640287769784	0	0	0	0	0	181	0	0
23886507	23888677	24	284	0	0	0.217391304347826	0.001092739938484	0	0	0.0521572976648991	0.116856786842143	0	0	0	0
23886507	23889131	260	284	0	0	1	0.975020119773746	1	1	0.883143213157857	0.947842702335101	0	0	0	0
23891512	23892025	0	0	NA	0	1	0.0625	0	1	0	0	0	0	0	0
23892062	23894138	0	0	NA	0	1	0.0130208333333333	0	0	0	0	0	0	0	0
23894202	23894510	0	0	NA	0	0.7	0.00182291666666667	0	0	0	0	0	0	0	0
23894202	23896820	0	0	NA	0	1	0.03984375	0	0	0	0	0	0	0	0
