"initial"	"last"	"count"	"total"	"flag"	"min"	"max"	"mean"	"percentile_5"	"percentile_95"	"lower"	"upper"	"potential"	"score"
20019619	20025225	0	0	NA	0	1	0.0357682850126884	0	0.353781512605042	0	0	0	0
20019619	20026611	867	867	0	0	1	0.800077765615111	0	1	1	1	0	0
20019619	20027202	0	0	NA	0	0.0686274509803922	0.000172865115819628	0	0	0	0	0	0
20025376	20026611	0	0	NA	0	1	0.249370277078086	0	1	0	0	0	0
20026763	20027180	0	0	NA	0	0.0220994475138122	5.56661146443631e-05	0	0	0	0	0	0
20026763	20027202	1599	1599	0	0	1	0.994906550510041	1	1	1	1	0	0
20027319	20027984	19	1005	0	0	0.229508196721311	0.0017664072854813	0	0	0.0104852759423494	0.0273256693312825	0	0
20027319	20031318	986	1005	0	0	1	0.985639134276232	1	1	0.972674330668717	0.989514724057651	0	0
20028065	20031318	12	12	0	0	1	0.0125944584382872	0	0	1	1	0	0
20031436	20033742	0	0	NA	0	0.023121387283237	5.82402702348539e-05	0	0	0	0	0	0
20031436	20034253	774	774	0	0	1	0.989866192979135	1	1	1	1	0	0
20033831	20034253	0	0	NA	0	1	0.00755667506297229	0	0	0	0	0	0
20034405	20035194	0	0	NA	0	0.00985221674876847	2.48166668734722e-05	0	0	0	0	0	0
20034405	20036736	1243	1243	0	0	1	0.989899616582497	1	1	1	1	0	0
20035212	20036736	0	0	NA	0	1	0.00251889168765743	0	0	0	0	0	0
20036910	20051432	1643	1643	0	0	1	0.987145811616152	1	1	1	1	0	0
20036910	20059446	0	0	NA	0	0.0170854271356784	9.33880416589933e-05	0	0	0	0	0	0
20036910	20061052	0	0	NA	0	0.0660377358490566	0.000166341903901906	0	0	0	0	0	0
20051599	20052276	1643	1643	0	0	1	0.994962216624685	1	1	1	1	0	0
20052312	20058574	1742	1742	0	0	1	0.994962216624685	1	1	1	1	0	0
20058705	20059446	1362	1362	0	0	1	0.992443324937028	1	1	1	1	0	0
20059557	20061052	0	0	NA	0	0.0579710144927536	0.000146022706530866	0	0	0	0	0	0
20059563	20059729	0	0	NA	0	0.1	0.00231333514273442	0	0	0	0	0	0
20059563	20061052	1331	1331	0	0.9	1	0.997482736594697	1	1	1	1	0	0
20059563	20062845	0	0	NA	0	0.0229885057471264	5.79055560381019e-05	0	0	0	0	0	0
20059805	20061052	0	0	NA	0	1	0.0100755667506297	0	0	0	0	0	0
20061225	20061609	0	0	NA	0	0.125	0.000502838452573405	0	0	0	0	0	0
20061225	20062845	1148	1174	0	0	1	0.993527685979857	1	1	0.969435441499595	0.986271543168207	0	0
20061225	20064450	26	1174	0	0	0.1	0.000931692192254561	0	0	0.0137284568317931	0.0305645585004045	0	0
20061732	20062845	0	0	NA	0	1	0.00251889168765743	0	0	0	0	0	0
20062972	20064432	0	0	NA	0	0.00860585197934595	2.16772090159848e-05	0	0	0	0	0	0
20062972	20064450	1240	1240	0	0	1	0.992421647728012	1	1	1	1	0	0
20064546	20065033	0	0	NA	0	0.0819672131147541	0.00168336039993328	0	0	0	0	0	0
20064546	20066850	1305	1305	0	0	1	0.995797747912409	1	1	1	1	0	0
20065082	20066850	0	0	NA	0	1	0.00503778337531486	0	0	0	0	0	0
20067020	20067238	1397	1397	0	0	1	0.99691499025453	1	1	1	1	0	0
20067020	20067283	0	0	NA	0	0.152173913043478	0.000566118057813016	0	0	0	0	0	0
20067391	20068083	0	0	NA	0	0.213333333333333	0.0126874338596907	0	0.086014201914171	0	0	0	0
20067391	20071810	0	0	NA	0	0.109756097560976	0.00438503594295477	0	0.0500860881542699	0	0	0	0
20067391	20082015	1269	1269	0	0	1	0.979296661810777	0.9	1	1	1	0	0
20067391	20082780	0	0	NA	0	0.172413793103448	0.00111197669892053	0	0	0	0	0	0
20068107	20071810	0	0	NA	0	1	0.00503778337531486	0	0	0	0	0	0
20070574	20072467	0	0	NA	0	1	0.00251889168765743	0	0	0	0	0	0
20071924	20074420	0	0	NA	0	0.16025641025641	0.000403668539688691	0	0	0	0	0	0
20071924	20082015	12	12	0	0	1	0.530985597106504	0	1	1	1	0	0
20071924	20082780	0	0	NA	0	0.0384615384615385	9.68804495252858e-05	0	0	0	0	0	0
20074515	20074721	0	0	NA	0	1	0.00503778337531486	0	0	0	0	0	0
20074816	20082015	0	0	NA	0	1	0.00755667506297229	0	0	0	0	0	0
20082131	20082765	0	0	NA	0	0.10625	0.000649693689186214	0	0	0	0	0	0
20082131	20082780	1337	1337	0	0	1	0.994541365000858	0.972859791034715	1	1	1	0	0
20082131	20082946	0	0	NA	0	0.0845070422535211	0.00229004962229822	0	0.0147231144180641	0	0	0	0
20083033	20083655	1564	1564	0	0	1	0.997481108312343	1	1	1	1	0	0
20083777	20085821	1896	1896	0	0.95679012345679	1	0.99987920223681	1	1	1	1	0	0
20083777	20085828	0	0	NA	0	0.0432098765432099	0.000120797763189541	0	0	0	0	0	0
20567257	20567669	50	393	0	0	1	0.0544161937665786	0	0.53986013986014	0.0942807199769302	0.160172206231721	0	0
20567257	20567884	17	393	0	0	0.15	0.000377833753148615	0	0	0.0231435910486371	0.0633704038623044	0	0
20567257	20574379	326	393	0	0	1	0.0938205820520612	0	1	0.792336191712397	0.866696887168011	0	0
20567786	20567884	14	24	0	0	1	0.0125944584382872	0	0	0.386089594287977	0.78057707237869	0	0
20567786	20567893	10	24	0	0	0	NA	NA	NA	0.21942292762131	0.613910405712023	1	0.416666666666667
20567998	20573020	0	0	NA	0	0.266666666666667	0.000671704450041982	0	0	0	0	0	0
20567998	20574379	63	63	0	0	1	0.160537363560034	0	1	1	1	0	0
20573152	20574379	12	12	0	0	0	NA	NA	NA	1	1	1	1
20574476	20582956	389	389	0	0	1	0.473551637279597	0	1	1	1	0	0
20583020	20589810	434	494	0	0	1	0.341931368379731	0	1	0.84973629909291	0.907348721150005	0	0
20583020	20590966	60	494	0	0	1	0.00819457620465177	0	0	0.0926512788499948	0.15026370090709	0	0
20589868	20590966	428	428	0	0	1	0.468513853904282	0	1	1	1	0	0
20591021	20591617	465	465	0	0	1	0.54911838790932	0	1	1	1	0	0
20591682	20592334	468	495	0	0	1	0.42655224892609	0	1	0.925448876335654	0.965460214573437	0	0
20591682	20596149	27	495	0	0	0.75	0.00417822966333022	0	0	0.0345397854265631	0.074551123664346	0	0
20592405	20596149	503	503	0	0	1	0.44080604534005	0	1	1	1	0	0
20596241	20597014	438	438	0	0	1	0.634760705289673	0	1	1	1	0	0
20597120	20598650	454	454	0	0	1	0.579345088161209	0	1	1	1	0	0
20598754	20599450	381	381	0	0	1	0.612090680100756	0	1	1	1	0	0
20599566	20601704	428	428	0	0	1	0.581863979848867	0	1	1	1	0	0
20601749	20601850	71	71	0	0	1	0.0453400503778338	0	0	1	1	0	0
20601934	20605034	403	403	0	0	1	0.551637279596977	0	1	1	1	0	0
20605106	20614356	0	0	NA	0	0.104761904761905	0.000503778337531486	0	0	0	0	0	0
20605106	20615792	311	391	0	0	1	0.37524600019365	0	1	0.755409667980442	0.835383170894239	0	0
20605106	20625749	80	391	0	0	1	0.00964064968040568	0	0	0.164616829105761	0.244590332019559	0	0
20614911	20615792	0	0	NA	0	1	0.00251889168765743	0	0	0	0	0	0
20615880	20625749	334	334	0	0	1	0.55919395465995	0	1	1	1	0	0
20615880	20638331	0	0	NA	0	1	0.00251889168765743	0	0	0	0	0	0
20625850	20631015	327	327	0	0	1	0.713380197220265	0	1	1	1	0	0
20625850	20638331	0	0	NA	0	0.619047619047619	0.00198504207444499	0	0	0	0	0	0
20625850	20641289	0	0	NA	0	1	0.00251889168765743	0	0	0	0	0	0
20631103	20636136	0	0	NA	0	0.204081632653061	0.000514059528093353	0	0	0	0	0	0
20631103	20638331	336	336	0	0	1	0.5315023795545	0	1	1	1	0	0
20631103	20641289	0	0	NA	0	0.789473684210526	0.00198859870078218	0	0	0	0	0	0
20633029	20638331	0	0	NA	0	1	0.0100755667506297	0	0	0	0	0	0
20636235	20638331	0	0	NA	0	1	0.0125944584382872	0	0	0	0	0	0
20638519	20641289	518	518	0	0	1	0.748110831234257	0	1	1	1	0	0
20641399	20643454	335	335	0	0	1	0.692695214105793	0	1	1	1	0	0
20643606	20644842	299	299	0	0	1	0.594458438287154	0	1	1	1	0	0
20644959	20653875	396	396	0	0	1	0.720403022670025	0	1	1	1	0	0
20653929	20656364	428	428	0	0	1	0.783375314861461	0	1	1	1	0	0
20656431	20659204	0	0	NA	0	0.0549450549450549	0.00013840064217898	0	0	0	0	0	0
20656431	20663262	0	0	NA	0	1	0.0170537608679449	0	0	0	0	0	0
20656431	20663497	416	416	0	0	1	0.708248644535216	0	1	1	1	0	0
20663387	20663497	14	14	0	0	1	0.219143576826196	0	1	1	1	0	0
20663605	20670972	483	483	0	0	1	0.894206549118388	0	1	1	1	0	0
20671040	20690704	404	433	0	0	1	0.90459645151426	0	1	0.909479579349495	0.956571228964592	0	0
20671040	20691053	29	433	0	0	0.454545454545455	0.0147990144807026	0	0.101467203682394	0.0434287710354077	0.0905204206505046	0	0
20689582	20690704	0	0	NA	0	1	0.00251889168765743	0	0	0	0	0	0
20690816	20691053	431	431	0	0	1	0.969773299748111	1	1	1	1	0	0
20704292	20721635	11	11	0	0	1	0.282115869017632	0	1	1	1	0	0
21140682	21140791	0	0	NA	0	0.00220588235294118	5.55637872277374e-06	0	0	0	0	0	0
21140682	21140885	15090	15090	0	0.997794117647059	1	0.999994443621277	1	1	1	1	0	0
21140996	21145091	153	11702	0	0	0.0110236220472441	9.00677554046947e-05	0	0	0.0110165057981667	0.0151328703768461	0	0
21140996	21145161	15	11702	0	0	0.00188976377952756	4.76011027588806e-06	0	0	0.000633551480590547	0.00193011285029306	0	0
21140996	21146804	11534	11702	0	0.987086614173228	1	0.999899038469496	1	1	0.98348816577099	0.987798793723114	0	0
21140996	21147185	0	0	NA	0	0.00243506493506494	6.13366482384115e-06	0	0	0	0	0	0
21145285	21146804	108	108	0	0	1	0.168765743073048	0	1	1	1	0	0
21146928	21147185	7966	7966	0	1	1	1	1	1	1	1	0	0
21147540	21147574	0	0	NA	0	1	0.00251889168765743	0	0	0	0	0	0
21176718	21176861	20	2095	0	0	0.0952380952380952	0.0119539505341014	0	0.0685062757497365	0.00538260306300875	0.0137104756959411	0	0
21176718	21176911	2075	2095	0	0.904761904761905	1	0.988046049465899	0.931493724250263	1	0.986289524304059	0.994617396936991	0	0
21672190	21681041	18	18	0	0	1	0.00503778337531486	0	0	1	1	0	0
21681146	21701189	18	18	0	0	1	0.0151133501259446	0	0	1	1	0	0
23181076	23191246	0	0	NA	0	1	0.00593738754947823	0	0	0	0	0	0
23181076	23203694	0	0	NA	0	1	0.0671104713925873	0	1	0	0	0	0
23191398	23203694	0	0	NA	0	1	0.0125944584382872	0	0	0	0	0	0
23203890	23234610	65	65	0	0	1	0.360201511335013	0	1	1	1	0	0
23234713	23243900	0	0	NA	0	0.416666666666667	0.00119770830246456	0	0	0	0	0	0
23234713	23250629	98	98	0	0	1	0.399306070035067	0	1	1	1	0	0
23247346	23250629	0	0	NA	0	1	0.00251889168765743	0	0	0	0	0	0
23250718	23279358	88	88	0	0	1	0.551637279596977	0	1	1	1	0	0
23279479	23295414	102	102	0	0	1	0.375314861460957	0	1	1	1	0	0
23295488	23320636	96	96	0	0	1	0.353614250897133	0	1	1	1	0	0
23295488	23324367	0	0	NA	0	1	0.0116250438131941	0	0	0	0	0	0
23320761	23324367	52	52	0	0	1	0.516372795969773	0	1	1	1	0	0
23570849	23590149	153	796	0	0	1	0.0359186368148473	0	0.243939393939394	0.164837092546497	0.219585018006267	0	0
23570849	23615866	0	0	NA	0	0.0684931506849315	0.000224785991566087	0	0	0	0	0	0
23579530	23585455	10	796	0	0	0.238095238095238	0.00152531474660114	0	0	0.00482536608042247	0.0203002620602811	0	0
23579530	23590149	584	796	0	0	1	0.759486966616417	0	1	0.702959684696409	0.764376998720676	0	0
23579530	23615866	36	796	0	0	1	0.0443180706796665	0	0.290591397849462	0.0307902090037841	0.0596620523027485	0	0
23579534	23590149	13	796	0	0	0.3	0.00203101367192838	0	0	0.00752646230550826	0.0251368542774063	0	0
23579534	23615866	0	0	NA	0	0.113636363636364	0.000286237691779253	0	0	0	0	0	0
23580247	23590149	0	0	NA	0	0.0149625935162095	3.7689152433777e-05	0	0	0	0	0	0
23585546	23590149	21	21	0	0	1	0.0654911838790932	0	1	1	1	0	0
23590253	23593344	796	796	0	0	1	0.901740359809006	0	1	1	1	0	0
23590253	23615866	0	0	NA	0	0.00907715582450832	2.28643723539252e-05	0	0	0	0	0	0
23593456	23611770	0	0	NA	0	0.00956937799043062	2.41042266761477e-05	0	0	0	0	0	0
23593456	23615866	899	899	0	0	1	0.947040000964169	0	1	1	1	0	0
23593456	23659049	0	0	NA	0	0.00837320574162679	2.10911983416292e-05	0	0	0	0	0	0
23610266	23615866	0	0	NA	0	0.00717703349282297	1.80781700071107e-05	0	0	0	0	0	0
23611847	23615866	0	0	NA	0	1	0.00251889168765743	0	0	0	0	0	0
23616046	23626706	937	937	0	0	1	0.952141057934509	1	1	1	1	0	0
23626793	23629102	23	825	0	0	0.323529411764706	0.00905287953900292	0	0.0719429857464365	0.0166449991826098	0.039112576574966	0	0
23626793	23659049	786	825	0	0	1	0.94672907915541	0.818317610062893	1	0.938245600117634	0.967208945336911	0	0
23626793	23667979	16	825	0	0	0.131578947368421	0.0013758918513467	0	0	0.0099835108643151	0.0288043679235637	0	0
23626793	23673371	0	0	NA	0	0.00833333333333333	2.09907640638119e-05	0	0	0	0	0	0
23629221	23659049	0	0	NA	0	1	0.00251889168765743	0	0	0	0	0	0
23659215	23660364	578	589	0	0	1	0.817046966589927	0	1	0.97039117666193	0.992257380214132	0	0
23659215	23667979	11	589	0	0	0.5	0.0178919535582883	0	0.16448087431694	0.00774261978586844	0.0296088233380704	0	0
23659215	23673371	0	0	NA	0	0.411764705882353	0.00133312015405196	0	0	0	0	0	0
23660491	23667979	623	623	0	0	1	0.928792260467179	0	1	1	1	0	0
23660491	23673371	0	0	NA	0	0.119047619047619	0.000678772278412601	0	0	0	0	0	0
23668083	23668691	606	660	0	0	1	0.827849434293161	0	1	0.897270887612371	0.939092748751265	0	0
23668083	23673371	54	660	0	0	1	0.12177273195369	0	0.480327868852459	0.0609072512487346	0.102729112387629	0	0
23668918	23673371	0	0	NA	0	0.357142857142857	0.00102682092606526	0	0	0	0	0	0
23669098	23670958	0	0	NA	0	0.048	0.000149345900706915	0	0	0	0	0	0
23669098	23672271	0	0	NA	0	0.125	0.000314861460957179	0	0	0	0	0	0
23669098	23673371	838	838	0	0	1	0.96061764389651	0.982396313364055	1	1	1	0	0
23669383	23673371	0	0	NA	0	0.0178571428571429	4.49802087081684e-05	0	0	0	0	0	0
23670240	23671777	0	0	NA	0	0.0142857142857143	3.59841669665347e-05	0	0	0	0	0	0
23670256	23671804	0	0	NA	0	0.0107142857142857	2.6988125224901e-05	0	0	0	0	0	0
23671059	23673371	0	0	NA	0	1	0.0292635946066084	0	0	0	0	0	0
23672418	23673371	0	0	NA	0	1	0.0135575640835679	0	0	0	0	0	0
23672832	23673371	0	0	NA	0	1	0.00503778337531486	0	0	0	0	0	0
23674944	23675702	0	0	NA	0	1	0.00251889168765743	0	0	0	0	0	0
23979925	23983726	0	0	NA	0	1	0.00251889168765743	0	0	0	0	0	0
24160933	24199073	0	0	NA	0	1	0.00251889168765743	0	0	0	0	0	0
24160933	24222818	52	52	0	0	1	0.219143576826196	0	1	1	1	0	0
24224583	24249476	91	91	0	0	1	0.408060453400504	0	1	1	1	0	0
24249843	24251717	195	195	0	0	1	0.36272040302267	0	1	1	1	0	0
24251636	24251717	0	0	NA	0	1	0.00251889168765743	0	0	0	0	0	0
24251863	24278613	11	99	0	0	1	0.00860908982852975	0	0	0.0492039401397042	0.173018282082518	0	0
24251863	24284134	88	99	0	0	1	0.333960179692881	0	1	0.826981717917482	0.950796059860296	0	0
24270913	24284134	14	14	0	0	1	0.00755667506297229	0	0	1	1	0	0
24273138	24284134	0	0	NA	0	1	0.00251889168765743	0	0	0	0	0	0
24278822	24284134	0	0	NA	0	1	0.0100755667506297	0	0	0	0	0	0
24280155	24284134	27	27	0	0	1	0.00251889168765743	0	0	1	1	0	0
24284272	24286213	86	86	0	0	1	0.377833753148615	0	1	1	1	0	0
24286394	24286764	183	183	0	0	1	0.540827036104114	0	1	1	1	0	0
24286394	24288998	0	0	NA	0	1	0.00325356842989085	0	0	0	0	0	0
24286951	24288998	206	206	0	0	1	0.506297229219144	0	1	1	1	0	0
24289179	24290651	202	202	0	0	1	0.486146095717884	0	1	1	1	0	0
24290885	24294738	181	181	0	0	1	0.619647355163728	0	1	1	1	0	0
24294869	24297362	196	196	0	0	1	0.695214105793451	0	1	1	1	0	0
24297736	24300400	134	134	0	0	1	0.7455919395466	0	1	1	1	0	0
24300476	24302597	176	176	0	0	1	0.404799388269162	0	1	1	1	0	0
24300476	24304459	0	0	NA	0	0.130952380952381	0.000329854863859902	0	0	0	0	0	0
24300476	24304477	0	0	NA	0	0.104166666666667	0.000412318579824877	0	0	0	0	0	0
24301652	24302597	0	0	NA	0	1	0.00251889168765743	0	0	0	0	0	0
24316170	24318817	0	0	NA	0	1	0.0403022670025189	0	0	0	0	0	0
24318881	24320995	0	0	NA	0	1	0.0201511335012594	0	0	0	0	0	0
24321032	24321545	0	0	NA	0	1	0.00755667506297229	0	0	0	0	0	0
24680753	24681561	0	0	NA	0	1	0.0957178841309824	0	1	0	0	0	0
24681721	24685313	0	0	NA	0	1	0.191192983520986	0	1	0	0	0	0
24681721	24689261	0	0	NA	0	0.0963855421686747	0.000242784740979029	0	0	0	0	0	0
24685374	24688318	0	0	NA	0	1	0.109448632691736	0	1	0	0	0	0
24685374	24689261	0	0	NA	0	0.238095238095238	0.00138260156519082	0	0	0	0	0	0
24688523	24688682	0	0	NA	0	0.24	0.0010864069948844	0	0	0	0	0	0
24688523	24689261	0	0	NA	0	1	0.150047094264561	0	1	0	0	0	0
24689376	24690337	0	0	NA	0	1	0.234256926952141	0	1	0	0	0	0
24690473	24690603	0	0	NA	0	1	0.151133501259446	0	1	0	0	0	0
24690722	24690981	0	0	NA	0	1	0.241813602015113	0	1	0	0	0	0
24691251	24692428	0	0	NA	0	1	0.221662468513854	0	1	0	0	0	0
24692628	24692786	0	0	NA	0	1	0.223779409400289	0	1	0	0	0	0
24692628	24694443	0	0	NA	0	0.159574468085106	0.00040195080122193	0	0	0	0	0	0
24692897	24694443	0	0	NA	0	1	0.251889168765743	0	1	0	0	0	0
24694579	24698527	0	0	NA	0	0.0595238095238095	0.000149934029027228	0	0	0	0	0	0
24694579	24698657	0	0	NA	0	1	0.195873815521171	0	1	0	0	0	0
24694579	24700746	0	0	NA	0	0.178571428571429	0.000449802087081684	0	0	0	0	0	0
24698626	24700746	0	0	NA	0	0.05	0.000125944584382872	0	0	0	0	0	0
24698851	24700746	0	0	NA	0	1	0.208942065491184	0	1	0	0	0	0
24700923	24701934	0	0	NA	0	1	0.292191435768262	0	1	0	0	0	0
24702072	24706312	0	0	NA	0	1	0.286317420685924	0	1	0	0	0	0
24702072	24707022	0	0	NA	0	0.148387096774194	0.000836231707023067	0	0	0	0	0	0
24706464	24707022	0	0	NA	0	1	0.309823677581864	0	1	0	0	0	0
24707192	24707278	0	0	NA	0	1	0.337531486146096	0	1	0	0	0	0
24707434	24709363	0	0	NA	0	1	0.337531486146096	0	1	0	0	0	0
24709488	24709682	0	0	NA	0	1	0.387909319899244	0	1	0	0	0	0
24709829	24710334	0	0	NA	0	0.102040816326531	0.000257029764046677	0	0	0	0	0	0
24709829	24710459	0	0	NA	0	1	0.390171181822855	0	1	0	0	0	0
24710594	24710791	0	0	NA	0	1	0.344900584168498	0	1	0	0	0	0
24710594	24711317	0	0	NA	0	0.074468085106383	0.000187577040570234	0	0	0	0	0	0
24710894	24711317	0	0	NA	0	1	0.355163727959698	0	1	0	0	0	0
24711410	24711493	0	0	NA	0	1	0.390225535444936	0	1	0	0	0	0
24711410	24711549	0	0	NA	0	0.0372340425531915	0.000130294196917833	0	0	0	0	0	0
24711410	24711552	0	0	NA	0	0.028735632183908	7.23819450476273e-05	0	0	0	0	0	0
24830600	24831857	0	0	NA	0	1	0.00251889168765743	0	0	0	0	0	0
24831979	24842040	0	0	NA	0	1	0.00251889168765743	0	0	0	0	0	0
24842162	24843743	0	0	NA	0	1	0.00251889168765743	0	0	0	0	0	0
24843972	24844651	0	0	NA	0	1	0.00503778337531486	0	0	0	0	0	0
24844803	24844960	0	0	NA	0	1	0.00251889168765743	0	0	0	0	0	0
24845080	24850340	0	0	NA	0	1	0.00251889168765743	0	0	0	0	0	0
24850444	24851455	0	0	NA	0	1	0.00503778337531486	0	0	0	0	0	0
24854145	24859000	0	0	NA	0	1	0.0100755667506297	0	0	0	0	0	0
24859165	24861267	0	0	NA	0	1	0.00503778337531486	0	0	0	0	0	0
24861388	24862712	0	0	NA	0	1	0.00251889168765743	0	0	0	0	0	0
24862794	24864872	0	0	NA	0	1	0.00251889168765743	0	0	0	0	0	0
24866204	24868599	0	0	NA	0	1	0.00503778337531486	0	0	0	0	0	0
24868717	24870570	0	0	NA	0	1	0.00755667506297229	0	0	0	0	0	0
24870740	24874113	0	0	NA	0	1	0.00755667506297229	0	0	0	0	0	0
24874250	24876996	0	0	NA	0	1	0.00251889168765743	0	0	0	0	0	0
24877187	24879186	0	0	NA	0	1	0.00503778337531486	0	0	0	0	0	0
24879296	24879736	0	0	NA	0	1	0.00755667506297229	0	0	0	0	0	0
25301881	25303101	0	0	NA	0	1	0.00251889168765743	0	0	0	0	0	0
25301881	25307805	709	709	0	0	1	0.551637279596977	0	1	1	1	0	0
25307641	25307805	0	0	NA	0	1	0.0100755667506297	0	0	0	0	0	0
25307949	25309246	952	1041	0	0	1	0.727818068213732	0	1	0.897519192060883	0.931491374701845	0	0
25307949	25312882	89	1041	0	0	0.461538461538462	0.00266052120692259	0	0	0.0685086252981546	0.102480807939117	0	0
25309283	25312882	848	848	0	0	1	0.667506297229219	0	1	1	1	0	0
25313033	25313613	891	891	0	0	1	0.874055415617129	0	1	1	1	0	0
25313752	25315356	985	985	0	0	1	0.894206549118388	0	1	1	1	0	0
25315468	25319325	1021	1021	0	0	1	0.385514283072599	0	1	1	1	0	0
